scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Ts-2,1,"PROFILE MATCH ()-[t:STOPS_AT]->(s:Station) WHERE s.name IS NOT NULL AND t.code IS NOT NULL RETURN DISTINCT t.code, s.name",before,retrieval,memgraph,1076.970597,5675074,
S_Ts-2,2,"PROFILE MATCH (ts:TrainService)-[t:STOPS_AT]->(s:Station) WHERE ts.type CONTAINS ""Nightjet"" RETURN DISTINCT ts.number, ts.type, t.code",before,retrieval,memgraph,93.301089,200599,
S_Ts-2,3,"PROFILE MATCH (ts:TrainService) WHERE ts.type CONTAINS ""Nightjet"" RETURN DISTINCT ts.number, ts.completely_cancelled",before,retrieval,memgraph,90.58262500000001,194463,
S_Ts-2,4,"PROFILE MATCH (ts:TrainService) WHERE ts.type CONTAINS ""Sprinter"" RETURN DISTINCT ts.number, ts.operator",before,retrieval,memgraph,144.79186599999997,356326,
S_Ts-2,1,"PROFILE MATCH ()-[t:STOPS_AT]->(s:Station) WHERE s.name IS NOT NULL AND t.code IS NOT NULL AND s.name = ""Innsbruck Hbf"" SET t.code = ""Rainbow""",before,update,memgraph,33.018392,194278,
S_Ts-2,1,"PROFILE MATCH ()-[t:STOPS_AT]->(s:Station) WHERE s.name IS NOT NULL AND t.code IS NOT NULL RETURN DISTINCT t.code, s.name",before,retrieval,memgraph,1061.1283590000003,5675074,
S_Ts-2,2,"PROFILE MATCH (ts:TrainService)-[t:STOPS_AT]->(s:Station) WHERE ts.type CONTAINS ""Nightjet"" RETURN DISTINCT ts.number, ts.type, t.code",before,retrieval,memgraph,88.646997,200599,
S_Ts-2,3,"PROFILE MATCH (ts:TrainService) WHERE ts.type CONTAINS ""Nightjet"" RETURN DISTINCT ts.number, ts.completely_cancelled",before,retrieval,memgraph,89.50896900000001,194463,
S_Ts-2,4,"PROFILE MATCH (ts:TrainService) WHERE ts.type CONTAINS ""Sprinter"" RETURN DISTINCT ts.number, ts.operator",before,retrieval,memgraph,152.509999,356326,
S_Ts-2,1,"PROFILE MATCH ()-[t:STOPS_AT]->(s:Station) WHERE s.name IS NOT NULL AND t.code IS NOT NULL AND s.name = ""Innsbruck Hbf"" SET t.code = ""Rainbow""",before,update,memgraph,37.382988000000005,194278,
S_Ts-2,1,"PROFILE MATCH ()-[t:STOPS_AT]->(s:Station) WHERE s.name IS NOT NULL AND t.code IS NOT NULL RETURN DISTINCT t.code, s.name",before,retrieval,memgraph,1084.156547,5675074,
S_Ts-2,2,"PROFILE MATCH (ts:TrainService)-[t:STOPS_AT]->(s:Station) WHERE ts.type CONTAINS ""Nightjet"" RETURN DISTINCT ts.number, ts.type, t.code",before,retrieval,memgraph,89.705602,200599,
S_Ts-2,3,"PROFILE MATCH (ts:TrainService) WHERE ts.type CONTAINS ""Nightjet"" RETURN DISTINCT ts.number, ts.completely_cancelled",before,retrieval,memgraph,88.46934899999998,194463,
