scenario,queryNo,query,state,mode,database,time,dbhits,memory
S_Nw,1,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,retrieval,neo4j,16.848541,3321,156080
S_Nw,2,PROFILE MATCH (o:Order) WHERE o.customerID IS NOT NULL AND o.shipCity IS NOT NULL AND o.shipPostalCode IS NOT NULL AND o.shipCountry IS NOT NULL AND o.shipAddress IS NOT NULL AND o.shipRegion IS NOT NULL RETURN DISTINCT o.customerID,before,retrieval,neo4j,13.263462,10791,6360
S_Nw,1,"PROFILE MATCH (o:Order) WHERE o.customerID = ""FOLKO"" SET o.shipCountry = ""Rainbow""",before,update,neo4j,2.129809,2529,328
S_Nw,1,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,retrieval,neo4j,10.358192,3321,156080
S_Nw,2,PROFILE MATCH (o:Order) WHERE o.customerID IS NOT NULL AND o.shipCity IS NOT NULL AND o.shipPostalCode IS NOT NULL AND o.shipCountry IS NOT NULL AND o.shipAddress IS NOT NULL AND o.shipRegion IS NOT NULL RETURN DISTINCT o.customerID,before,retrieval,neo4j,4.367811,10791,6360
S_Nw,1,"PROFILE MATCH (o:Order) WHERE o.customerID = ""FOLKO"" SET o.shipCountry = ""Rainbow""",before,update,neo4j,0.811585,2529,328
S_Nw,1,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,retrieval,neo4j,8.241712,3321,156080
S_Nw,2,PROFILE MATCH (o:Order) WHERE o.customerID IS NOT NULL AND o.shipCity IS NOT NULL AND o.shipPostalCode IS NOT NULL AND o.shipCountry IS NOT NULL AND o.shipAddress IS NOT NULL AND o.shipRegion IS NOT NULL RETURN DISTINCT o.customerID,before,retrieval,neo4j,3.928473,10791,6360
S_Nw,1,"PROFILE MATCH (o:Order) WHERE o.customerID = ""FOLKO"" SET o.shipCountry = ""Rainbow""",before,update,neo4j,1.772254,2529,328
S_Nw,1,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,retrieval,neo4j,8.808461,3321,156080
